rank,player_name,rating,games_played,confidence,last_seen
419,Netaki,1458.52,1,0.03,2025-07-29
420,Ampshock,1457.93,4,0.13,2025-11-04
421,Dusk Deadman,1457.28,1,0.03,2025-07-30
422,Booorman,1455.74,5,0.17,2025-11-09
423,Harvester of the Sea,1455.67,1,0.03,2025-08-02
424,Superpery99,1455.26,2,0.07,2025-10-20
425,Wyler,1455.26,1,0.03,2025-11-08
426,Bolmont,1454.75,2,0.07,2025-10-18
427,sunup13,1454.35,5,0.17,2025-11-08
428,マイゼネス,1454.1,1,0.03,2025-07-26
429,Millonmaster,1452.09,2,0.07,2025-08-31
430,deLiMBed,1450.05,3,0.1,2025-08-12
431,habitualproblem,1448.05,1,0.03,2025-08-08
432,Paper20,1446.04,2,0.07,2025-11-03
433,greedie,1445.41,4,0.13,2025-10-10
434,Hailspork,1445.19,6,0.2,2025-11-07
435,Mequiadore,1444.17,3,0.1,2025-10-31
436,Sanarex,1443.5,1,0.03,2025-08-13
437,clonek6,1443.47,2,0.07,2025-11-08
438,Brontozaurul,1438.98,3,0.1,2025-10-29
439,HaV0C,1435.66,7,0.23,2025-11-09
440,deadgast,1434.9,18,0.6,2025-10-26
441,izombie,1434.28,2,0.07,2025-10-27
442,RandomTieflingGirl,1433.67,2,0.07,2025-08-12
443,Alias,1433.63,3,0.1,2025-08-23
444,Bananaman0002TTV,1432.97,2,0.07,2025-10-12
445,estebancito814,1431.8,4,0.13,2025-10-09
446,AverageLiam,1429.49,2,0.07,2025-11-04
447,ledance.show,1429.38,2,0.07,2025-10-22
448,Divi,1426.76,2,0.07,2025-10-14
449,f,1426.32,2,0.07,2025-08-06
450,rockallostatopuro,1425.65,5,0.17,2025-10-31
451,PitungA,1425.58,4,0.13,2025-08-13
452,pigsupreme2017,1424.67,14,0.47,2025-11-09
453,BTsin,1424.16,2,0.07,2025-10-24
454,I'm with Stupid ^,1421.07,7,0.23,2025-10-29
455,Softboness,1420.1,3,0.1,2025-11-05
456,Shoshone,1419.89,9,0.3,2025-09-21
457,DeltaKilo86,1418.89,2,0.07,2025-10-21
458,MDyo,1417.0,2,0.07,2025-10-19
459,Ziko,1415.92,3,0.1,2025-10-11
460,The Hamilton Ham Candle,1410.27,17,0.57,2025-11-09
461,drewtschida,1407.84,2,0.07,2025-09-24
462,(-.-)Zzz,1406.84,5,0.17,2025-11-05
463,Chocojoe,1404.81,2,0.07,2025-09-16
464,CarefuLost,1403.79,3,0.1,2025-09-15
465,vyacheslavmurzagulov,1403.54,3,0.1,2025-11-06
466,SlimReaper,1403.29,2,0.07,2025-10-23
467,nd.dasa,1402.73,2,0.07,2025-10-04
468,santiblader,1402.0,2,0.07,2025-10-23
